country,date,demand,type
CY,2016-07-01,0.0,power
CZ,2016-07-01,27.0,power
DE,2016-07-01,630.0,power
DK,2016-07-01,7.0,power
EE,2016-07-01,4.0,power
ES,2016-07-01,481.0,power
EU27_2020,2016-07-01,4879.0,power
FI,2016-07-01,8.0,power
FR,2016-07-01,191.0,power
GR,2016-07-01,269.0,power
HR,2016-07-01,16.0,power
HU,2016-07-01,118.0,power
IE,2016-07-01,0.0,power
IT,2016-07-01,2010.0,power
LT,2016-07-01,8.0,power
LU,2016-07-01,0.0,power
LV,2016-07-01,36.0,power
MT,2016-07-01,0.0,power
NL,2016-07-01,548.0,power
PL,2016-07-01,63.0,power
PT,2016-07-01,159.0,power
RO,2016-07-01,0.0,power
SE,2016-07-01,0.0,power
SI,2016-07-01,8.0,power
SK,2016-07-01,0.0,power
AT,2016-08-01,10.0,power
BE,2016-08-01,280.0,power
BG,2016-08-01,37.0,power
CY,2016-08-01,0.0,power
CZ,2016-08-01,48.0,power
DE,2016-08-01,0.0,power
DK,2016-08-01,4.0,power
EE,2016-08-01,2.0,power
ES,2016-08-01,420.0,power
EU27_2020,2016-08-01,4136.0,power
FI,2016-08-01,10.0,power
FR,2016-08-01,216.0,power
GR,2016-08-01,229.0,power
HR,2016-08-01,16.0,power
HU,2016-08-01,111.0,power
IE,2016-08-01,0.0,power
IT,2016-08-01,1756.0,power
LT,2016-08-01,0.0,power
LU,2016-08-01,0.0,power
LV,2016-08-01,28.0,power
MT,2016-08-01,0.0,power
NL,2016-08-01,607.0,power
PL,2016-08-01,81.0,power
PT,2016-08-01,273.0,power
RO,2016-08-01,0.0,power
SE,2016-08-01,0.0,power
SI,2016-08-01,8.0,power
SK,2016-08-01,0.0,power
AT,2016-09-01,90.0,power
BE,2016-09-01,327.0,power
BG,2016-09-01,38.0,power
CY,2016-09-01,0.0,power
CZ,2016-09-01,78.0,power
DE,2016-09-01,0.0,power
DK,2016-09-01,8.0,power
EE,2016-09-01,3.0,power
ES,2016-09-01,437.0,power
EU27_2020,2016-09-01,5234.0,power
FI,2016-09-01,11.0,power
FR,2016-09-01,460.0,power
GR,2016-09-01,229.0,power
HR,2016-09-01,20.0,power
HU,2016-09-01,128.0,power
IE,2016-09-01,0.0,power
IT,2016-09-01,2288.0,power
LT,2016-09-01,20.0,power
LU,2016-09-01,0.0,power
LV,2016-09-01,30.0,power
MT,2016-09-01,0.0,power
NL,2016-09-01,695.0,power
PL,2016-09-01,86.0,power
PT,2016-09-01,278.0,power
RO,2016-09-01,0.0,power
SE,2016-09-01,0.0,power
SI,2016-09-01,8.0,power
SK,2016-09-01,0.0,power
AT,2016-10-01,162.0,power
BE,2016-10-01,475.0,power
BG,2016-10-01,67.0,power
CY,2016-10-01,0.0,power
CZ,2016-10-01,87.0,power
DE,2016-10-01,0.0,power
DK,2016-10-01,13.0,power
EE,2016-10-01,18.0,power
ES,2016-10-01,633.0,power
EU27_2020,2016-10-01,6005.0,power
FI,2016-10-01,29.0,power
FR,2016-10-01,560.0,power
GR,2016-10-01,266.0,power
HR,2016-10-01,53.0,power
HU,2016-10-01,148.0,power
IE,2016-10-01,0.0,power
IT,2016-10-01,2230.0,power
LT,2016-10-01,28.0,power
LU,2016-10-01,0.0,power
LV,2016-10-01,85.0,power
MT,2016-10-01,0.0,power
NL,2016-10-01,735.0,power
PL,2016-10-01,153.0,power
PT,2016-10-01,256.0,power
RO,2016-10-01,0.0,power
SE,2016-10-01,0.0,power
SI,2016-10-01,7.0,power
SK,2016-10-01,0.0,power
AT,2016-11-01,247.0,power
BE,2016-11-01,477.0,power
BG,2016-11-01,105.0,power
CY,2016-11-01,0.0,power
CZ,2016-11-01,66.0,power
DE,2016-11-01,0.0,power
DK,2016-11-01,58.0,power
EE,2016-11-01,25.0,power
ES,2016-11-01,674.0,power
EU27_2020,2016-11-01,5768.0,power
FI,2016-11-01,73.0,power
FR,2016-11-01,570.0,power
GR,2016-11-01,246.0,power
HR,2016-11-01,45.0,power
HU,2016-11-01,168.0,power
IE,2016-11-01,0.0,power
IT,2016-11-01,2386.0,power
