country,type,year,month,demand,source,country_contributions
DE,household,2020.0,11.0,44.91,bundesnetzagentur,
DE,household,2020.0,12.0,60.48,bundesnetzagentur,
DE,household,2021.0,1.0,70.49,bundesnetzagentur,
DE,household,2021.0,2.0,59.64,bundesnetzagentur,
DE,household,2021.0,3.0,52.42,bundesnetzagentur,
DE,household,2021.0,4.0,41.67,bundesnetzagentur,
DE,household,2021.0,5.0,26.78,bundesnetzagentur,
DE,household,2021.0,6.0,8.1,bundesnetzagentur,
DE,household,2021.0,7.0,7.84,bundesnetzagentur,
DE,household,2021.0,8.0,9.52,bundesnetzagentur,
DE,household,2021.0,9.0,12.33,bundesnetzagentur,
DE,household,2021.0,10.0,31.59,bundesnetzagentur,
DE,household,2021.0,11.0,50.07,bundesnetzagentur,
DE,household,2021.0,12.0,62.99,bundesnetzagentur,
DE,household,2022.0,1.0,63.86,bundesnetzagentur,
DE,household,2022.0,2.0,52.02,bundesnetzagentur,
DE,household,2022.0,3.0,46.04,bundesnetzagentur,
DE,household,2022.0,4.0,33.6,bundesnetzagentur,
DE,household,2022.0,5.0,13.18,bundesnetzagentur,
DE,household,2022.0,6.0,7.98,bundesnetzagentur,
DE,household,2022.0,7.0,6.57,bundesnetzagentur,
DE,household,2022.0,8.0,5.74,bundesnetzagentur,
DE,household,2022.0,9.0,12.15,bundesnetzagentur,
DE,household,2022.0,10.0,18.2,bundesnetzagentur,
DE,household,2022.0,11.0,35.52,bundesnetzagentur,
DE,household,2022.0,12.0,58.0,bundesnetzagentur,
DE,household,2023.0,1.0,52.98,bundesnetzagentur,
DE,household,2023.0,2.0,47.85,bundesnetzagentur,
DE,household,2023.0,3.0,43.68,bundesnetzagentur,
DE,household,2023.0,4.0,31.5,bundesnetzagentur,
DE,household,2023.0,5.0,14.72,bundesnetzagentur,
DE,household,2023.0,6.0,6.72,bundesnetzagentur,
DE,household,2023.0,7.0,6.51,bundesnetzagentur,
DE,household,2023.0,8.0,6.98,bundesnetzagentur,
DE,household,2023.0,9.0,7.29,bundesnetzagentur,
DE,household,2023.0,10.0,20.24,bundesnetzagentur,
DE,household,2023.0,11.0,42.24,bundesnetzagentur,
DE,household,2023.0,12.0,53.51,bundesnetzagentur,
DE,household,2024.0,1.0,63.27,bundesnetzagentur,
DE,household,2024.0,2.0,41.27,bundesnetzagentur,
DE,household,2024.0,3.0,36.8,bundesnetzagentur,
DE,household,2024.0,4.0,26.04,bundesnetzagentur,
DE,household,2024.0,5.0,11.16,bundesnetzagentur,
DE,household,2024.0,6.0,8.88,bundesnetzagentur,
DE,household,2024.0,7.0,6.7,bundesnetzagentur,
DE,household,2024.0,8.0,5.89,bundesnetzagentur,
DE,household,2024.0,9.0,10.59,bundesnetzagentur,
DE,household,2024.0,10.0,23.99,bundesnetzagentur,
DE,household,2024.0,11.0,43.92,bundesnetzagentur,
DE,household,2024.0,12.0,55.55,bundesnetzagentur,
DE,household,2025.0,1.0,61.63,bundesnetzagentur,
DE,household,2025.0,2.0,53.96,bundesnetzagentur,
DE,household,2025.0,3.0,39.8,bundesnetzagentur,
DE,household,2025.0,4.0,22.32,bundesnetzagentur,
DE,household,2025.0,5.0,14.17,bundesnetzagentur,
DE,household,2025.0,6.0,7.35,bundesnetzagentur,
DE,household,2025.0,7.0,6.51,bundesnetzagentur,
DE,household,2025.0,8.0,6.73,bundesnetzagentur,
DE,household,2025.0,9.0,10.98,bundesnetzagentur,
DE,household,2025.0,10.0,27.34,bundesnetzagentur,
DE,household,2025.0,11.0,44.01,bundesnetzagentur,
FI,total,2019.0,1.0,388.15,eurostat,
FI,total,2019.0,2.0,281.0,eurostat,
FI,total,2019.0,3.0,271.91,eurostat,
FI,total,2019.0,4.0,215.3,eurostat,
FI,total,2019.0,5.0,156.67,eurostat,
FI,total,2019.0,6.0,156.67,eurostat,
FI,total,2019.0,7.0,154.65,eurostat,
FI,total,2019.0,8.0,151.62,eurostat,
FI,total,2019.0,9.0,171.84,eurostat,
FI,total,2019.0,10.0,210.25,eurostat,
FI,total,2019.0,11.0,210.25,eurostat,
FI,total,2019.0,12.0,228.44,eurostat,
FI,total,2020.0,1.0,257.75,eurostat,
FI,total,2020.0,2.0,232.99,eurostat,
FI,total,2020.0,3.0,241.08,eurostat,
FI,total,2020.0,4.0,184.98,eurostat,
FI,total,2020.0,5.0,165.77,eurostat,
FI,total,2020.0,6.0,167.79,eurostat,
FI,total,2020.0,7.0,156.67,eurostat,
FI,total,2020.0,8.0,170.83,eurostat,
FI,total,2020.0,9.0,205.19,eurostat,
FI,total,2020.0,10.0,204.69,eurostat,
FI,total,2020.0,11.0,211.76,eurostat,
FI,total,2020.0,12.0,257.25,eurostat,
FI,total,2021.0,1.0,362.78,eurostat,
FI,total,2021.0,2.0,363.79,eurostat,
FI,total,2021.0,3.0,270.79,eurostat,
FI,total,2021.0,4.0,230.36,eurostat,
FI,total,2021.0,5.0,103.0,eurostat,
FI,total,2021.0,6.0,121.19,eurostat,
FI,total,2021.0,7.0,154.55,eurostat,
FI,total,2021.0,8.0,144.44,eurostat,
FI,total,2021.0,9.0,176.78,eurostat,
FI,total,2021.0,10.0,148.48,eurostat,
FI,total,2021.0,11.0,112.09,eurostat,
FI,total,2021.0,12.0,257.65,eurostat,
FI,total,2022.0,1.0,180.83,eurostat,
FI,total,2022.0,2.0,151.51,eurostat,
FI,total,2022.0,3.0,164.09,eurostat,
FI,total,2022.0,4.0,97.13,eurostat,
FI,total,2022.0,5.0,104.01,eurostat,
FI,total,2022.0,6.0,94.54,eurostat,
FI,total,2022.0,7.0,85.73,eurostat,
FI,total,2022.0,8.0,101.98,eurostat,
FI,total,2022.0,9.0,74.61,eurostat,
FI,total,2022.0,10.0,69.99,eurostat,
FI,total,2022.0,11.0,79.75,eurostat,
FI,total,2022.0,12.0,90.06,eurostat,
FI,total,2023.0,1.0,132.45,eurostat,
FI,total,2023.0,2.0,146.46,eurostat,
FI,total,2023.0,3.0,135.2,eurostat,
FI,total,2023.0,4.0,77.84,eurostat,
FI,total,2023.0,5.0,141.2,eurostat,
FI,total,2023.0,6.0,100.99,eurostat,
FI,total,2023.0,7.0,113.97,eurostat,
FI,total,2023.0,8.0,135.72,eurostat,
FI,total,2023.0,9.0,117.26,eurostat,
FI,total,2023.0,10.0,301.12,eurostat,
FI,total,2023.0,11.0,157.73,eurostat,
FI,total,2023.0,12.0,193.95,eurostat,
FI,total,2024.0,1.0,235.04,eurostat,
FI,total,2024.0,2.0,206.62,eurostat,
FI,total,2024.0,3.0,174.24,eurostat,
FI,total,2024.0,4.0,125.42,eurostat,
FI,total,2024.0,5.0,108.2,eurostat,
FI,total,2024.0,6.0,133.39,eurostat,
FI,total,2024.0,7.0,134.25,eurostat,
FI,total,2024.0,8.0,103.6,eurostat,
FI,total,2024.0,9.0,134.56,eurostat,
FI,total,2024.0,10.0,149.99,eurostat,
FI,total,2024.0,11.0,108.65,eurostat,
FI,total,2024.0,12.0,172.22,eurostat,
FI,total,2025.0,1.0,158.1,eurostat,
FI,total,2025.0,2.0,146.25,eurostat,
FI,total,2025.0,3.0,168.43,eurostat,
FI,total,2025.0,4.0,139.04,eurostat,
FI,total,2025.0,5.0,122.68,eurostat,
FI,total,2025.0,6.0,88.56,eurostat,
FI,total,2025.0,7.0,116.79,eurostat,
FI,total,2025.0,8.0,96.02,eurostat,
FI,total,2025.0,9.0,63.1,eurostat,
FI,total,2025.0,10.0,114.03,eurostat,
FI,total,2025.0,11.0,123.02,eurostat,
FR,household,2019.0,1.0,52.04,"entsog, grtgaz",
FR,household,2019.0,2.0,38.3,"entsog, grtgaz",
FR,household,2019.0,3.0,33.37,"entsog, grtgaz",
FR,household,2019.0,4.0,22.78,"entsog, grtgaz",
FR,household,2019.0,5.0,16.62,"entsog, grtgaz",
FR,household,2019.0,6.0,8.23,"entsog, grtgaz",
FR,household,2019.0,7.0,6.88,"entsog, grtgaz",
FR,household,2019.0,8.0,6.13,"entsog, grtgaz",
FR,household,2019.0,9.0,8.48,"entsog, grtgaz",
FR,household,2019.0,10.0,17.54,"entsog, grtgaz",
FR,household,2019.0,11.0,36.48,"entsog, grtgaz",
FR,household,2019.0,12.0,41.75,"entsog, grtgaz",
FR,household,2020.0,1.0,44.75,"entsog, grtgaz",
FR,household,2020.0,2.0,36.17,"entsog, grtgaz",
FR,household,2020.0,3.0,33.99,"entsog, grtgaz",
FR,household,2020.0,4.0,14.77,"entsog, grtgaz",
FR,household,2020.0,5.0,11.08,"entsog, grtgaz",
FR,household,2020.0,6.0,8.11,"entsog, grtgaz",
FR,household,2020.0,7.0,7.14,"entsog, grtgaz",
FR,household,2020.0,8.0,5.98,"entsog, grtgaz",
FR,household,2020.0,9.0,9.02,"entsog, grtgaz",
FR,household,2020.0,10.0,22.86,"entsog, grtgaz",
FR,household,2020.0,11.0,31.16,"entsog, grtgaz",
FR,household,2020.0,12.0,42.65,"entsog, grtgaz",
FR,household,2021.0,1.0,50.8,"entsog, grtgaz",
FR,household,2021.0,2.0,38.05,"entsog, grtgaz",
FR,household,2021.0,3.0,36.2,"entsog, grtgaz",
FR,household,2021.0,4.0,25.8,"entsog, grtgaz",
FR,household,2021.0,5.0,17.84,"entsog, grtgaz",
FR,household,2021.0,6.0,7.8,"entsog, grtgaz",
FR,household,2021.0,7.0,7.18,"entsog, grtgaz",
FR,household,2021.0,8.0,6.47,"entsog, grtgaz",
FR,household,2021.0,9.0,8.12,"entsog, grtgaz",
FR,household,2021.0,10.0,19.84,"entsog, grtgaz",
FR,household,2021.0,11.0,37.83,"entsog, grtgaz",
FR,household,2021.0,12.0,43.34,"entsog, grtgaz",
FR,household,2022.0,1.0,48.68,"entsog, grtgaz",
FR,household,2022.0,2.0,35.64,"entsog, grtgaz",
FR,household,2022.0,3.0,30.46,"entsog, grtgaz",
FR,household,2022.0,4.0,21.48,"entsog, grtgaz",
FR,household,2022.0,5.0,9.19,"entsog, grtgaz",
FR,household,2022.0,6.0,7.05,"entsog, grtgaz",
FR,household,2022.0,7.0,6.06,"entsog, grtgaz",
FR,household,2022.0,8.0,5.35,"entsog, grtgaz",
FR,household,2022.0,9.0,8.32,"entsog, grtgaz",
FR,household,2022.0,10.0,10.77,"entsog, grtgaz",
FR,household,2022.0,11.0,24.31,"entsog, grtgaz",
FR,household,2022.0,12.0,39.73,"entsog, grtgaz",
FR,household,2023.0,1.0,40.18,"entsog, grtgaz",
FR,household,2023.0,2.0,34.14,"entsog, grtgaz",
FR,household,2023.0,3.0,29.39,"entsog, grtgaz",
FR,household,2023.0,4.0,19.76,"entsog, grtgaz",
FR,household,2023.0,5.0,9.87,"entsog, grtgaz",
FR,household,2023.0,6.0,6.35,"entsog, grtgaz",
FR,household,2023.0,7.0,5.76,"entsog, grtgaz",
FR,household,2023.0,8.0,5.29,"entsog, grtgaz",
FR,household,2023.0,9.0,6.59,"entsog, grtgaz",
FR,household,2023.0,10.0,11.41,"entsog, grtgaz",
FR,household,2023.0,11.0,27.47,"entsog, grtgaz",
FR,household,2023.0,12.0,34.24,"entsog, grtgaz",
FR,household,2024.0,1.0,41.58,"entsog, grtgaz",
FR,household,2024.0,2.0,28.52,"entsog, grtgaz",
FR,household,2024.0,3.0,25.76,"entsog, grtgaz",
FR,household,2024.0,4.0,17.58,"entsog, grtgaz",
FR,household,2024.0,5.0,10.01,"entsog, grtgaz",
FR,household,2024.0,6.0,7.01,"entsog, grtgaz",
FR,household,2024.0,7.0,5.88,"entsog, grtgaz",
FR,household,2024.0,8.0,4.77,"entsog, grtgaz",
FR,household,2024.0,9.0,7.68,"entsog, grtgaz",
FR,household,2024.0,10.0,13.43,"entsog, grtgaz",
FR,household,2024.0,11.0,27.39,"entsog, grtgaz",
FR,household,2024.0,12.0,36.67,"entsog, grtgaz",
FR,household,2025.0,1.0,41.43,"entsog, grtgaz",
FR,household,2025.0,2.0,33.51,"entsog, grtgaz",
FR,household,2025.0,3.0,26.77,"entsog, grtgaz",
FR,household,2025.0,4.0,13.64,"entsog, grtgaz",
FR,household,2025.0,5.0,8.18,"entsog, grtgaz",
FR,household,2025.0,6.0,5.61,"entsog, grtgaz",
FR,household,2025.0,7.0,5.02,grtgaz,
FR,household,2025.0,8.0,4.32,grtgaz,
FR,household,2025.0,9.0,7.01,grtgaz,
FR,household,2025.0,10.0,14.18,"entsog, grtgaz",
FR,household,2025.0,11.0,26.33,"entsog, grtgaz",
FR,industry,2019.0,1.0,15.43,"entsog, grtgaz",
FR,industry,2019.0,2.0,12.85,"entsog, grtgaz",
FR,industry,2019.0,3.0,13.25,"entsog, grtgaz",
FR,industry,2019.0,4.0,11.09,"entsog, grtgaz",
FR,industry,2019.0,5.0,10.93,"entsog, grtgaz",
FR,industry,2019.0,6.0,9.7,"entsog, grtgaz",
FR,industry,2019.0,7.0,9.79,"entsog, grtgaz",
FR,industry,2019.0,8.0,8.85,"entsog, grtgaz",
FR,industry,2019.0,9.0,9.46,"entsog, grtgaz",
FR,industry,2019.0,10.0,10.79,"entsog, grtgaz",
FR,industry,2019.0,11.0,13.77,"entsog, grtgaz",
FR,industry,2019.0,12.0,14.11,"entsog, grtgaz",
FR,industry,2020.0,1.0,14.22,"entsog, grtgaz",
FR,industry,2020.0,2.0,12.67,"entsog, grtgaz",
FR,industry,2020.0,3.0,12.0,"entsog, grtgaz",
FR,industry,2020.0,4.0,8.83,"entsog, grtgaz",
FR,industry,2020.0,5.0,9.62,"entsog, grtgaz",
FR,industry,2020.0,6.0,9.25,"entsog, grtgaz",
FR,industry,2020.0,7.0,9.27,"entsog, grtgaz",
FR,industry,2020.0,8.0,8.19,"entsog, grtgaz",
FR,industry,2020.0,9.0,9.86,"entsog, grtgaz",
FR,industry,2020.0,10.0,11.84,"entsog, grtgaz",
FR,industry,2020.0,11.0,12.97,"entsog, grtgaz",
FR,industry,2020.0,12.0,13.5,"entsog, grtgaz",
FR,industry,2021.0,1.0,14.18,"entsog, grtgaz",
FR,industry,2021.0,2.0,12.1,"entsog, grtgaz",
FR,industry,2021.0,3.0,12.59,"entsog, grtgaz",
FR,industry,2021.0,4.0,10.56,"entsog, grtgaz",
FR,industry,2021.0,5.0,10.11,"entsog, grtgaz",
FR,industry,2021.0,6.0,9.18,"entsog, grtgaz",
FR,industry,2021.0,7.0,8.9,"entsog, grtgaz",
FR,industry,2021.0,8.0,8.39,"entsog, grtgaz",
FR,industry,2021.0,9.0,9.19,"entsog, grtgaz",
FR,industry,2021.0,10.0,10.63,"entsog, grtgaz",
FR,industry,2021.0,11.0,12.91,"entsog, grtgaz",
FR,industry,2021.0,12.0,13.4,"entsog, grtgaz",
FR,industry,2022.0,1.0,13.45,"entsog, grtgaz",
FR,industry,2022.0,2.0,11.23,"entsog, grtgaz",
FR,industry,2022.0,3.0,10.79,"entsog, grtgaz",
FR,industry,2022.0,4.0,9.11,"entsog, grtgaz",
FR,industry,2022.0,5.0,8.79,"entsog, grtgaz",
FR,industry,2022.0,6.0,8.17,"entsog, grtgaz",
FR,industry,2022.0,7.0,8.05,"entsog, grtgaz",
FR,industry,2022.0,8.0,7.39,"entsog, grtgaz",
FR,industry,2022.0,9.0,8.57,"entsog, grtgaz",
FR,industry,2022.0,10.0,9.28,"entsog, grtgaz",
FR,industry,2022.0,11.0,10.55,"entsog, grtgaz",
FR,industry,2022.0,12.0,11.62,"entsog, grtgaz",
FR,industry,2023.0,1.0,10.94,"entsog, grtgaz",
FR,industry,2023.0,2.0,10.41,"entsog, grtgaz",
FR,industry,2023.0,3.0,10.49,"entsog, grtgaz",
FR,industry,2023.0,4.0,8.19,"entsog, grtgaz",
FR,industry,2023.0,5.0,7.81,"entsog, grtgaz",
FR,industry,2023.0,6.0,7.28,"entsog, grtgaz",
FR,industry,2023.0,7.0,7.29,"entsog, grtgaz",
FR,industry,2023.0,8.0,6.85,"entsog, grtgaz",
FR,industry,2023.0,9.0,7.69,"entsog, grtgaz",
FR,industry,2023.0,10.0,9.45,"entsog, grtgaz",
FR,industry,2023.0,11.0,10.8,"entsog, grtgaz",
FR,industry,2023.0,12.0,11.37,"entsog, grtgaz",
FR,industry,2024.0,1.0,11.73,"entsog, grtgaz",
FR,industry,2024.0,2.0,10.14,"entsog, grtgaz",
FR,industry,2024.0,3.0,10.05,"entsog, grtgaz",
FR,industry,2024.0,4.0,8.28,"entsog, grtgaz",
FR,industry,2024.0,5.0,8.25,"entsog, grtgaz",
