country,date,demand,type,source
AT,16/05/2019,205015639.4,total,aggm
AT,17/05/2019,156881001.7,total,aggm
AT,18/05/2019,145563396.2,total,aggm
AT,19/05/2019,172160617.3,total,aggm
AT,20/05/2019,181876115.7,total,aggm
AT,21/05/2019,185588975.2,total,aggm
AT,22/05/2019,181301292.2,total,aggm
AT,23/05/2019,158787076.2,total,aggm
AT,24/05/2019,130740408.5,total,aggm
AT,25/05/2019,122852794.8,total,aggm
AT,26/05/2019,149290922.4,total,aggm
AT,27/05/2019,156361527,total,aggm
AT,28/05/2019,170040566.8,total,aggm
AT,29/05/2019,152922296.5,total,aggm
AT,30/05/2019,147694190.6,total,aggm
AT,31/05/2019,125545228.6,total,aggm
AT,01/06/2019,118047202.1,total,aggm
AT,02/06/2019,137748186.7,total,aggm
AT,03/06/2019,147875896.8,total,aggm
AT,04/06/2019,137007991.4,total,aggm
AT,05/06/2019,135961880.7,total,aggm
AT,06/06/2019,139990173.9,total,aggm
AT,07/06/2019,116363999.4,total,aggm
AT,08/06/2019,108527676.9,total,aggm
AT,09/06/2019,109940515.4,total,aggm
AT,10/06/2019,138275308.6,total,aggm
AT,11/06/2019,145818846,total,aggm
AT,12/06/2019,150835545.5,total,aggm
AT,13/06/2019,141946080.2,total,aggm
AT,14/06/2019,111760312.8,total,aggm
AT,15/06/2019,113210287.3,total,aggm
AT,16/06/2019,131250489.4,total,aggm
AT,17/06/2019,159342026.2,total,aggm
AT,18/06/2019,158830280.9,total,aggm
AT,19/06/2019,116481409,total,aggm
AT,20/06/2019,139872444.7,total,aggm
AT,21/06/2019,109627384.5,total,aggm
AT,22/06/2019,110232590.2,total,aggm
AT,23/06/2019,160777276.5,total,aggm
AT,24/06/2019,159301404.6,total,aggm
AT,25/06/2019,167128282.4,total,aggm
AT,26/06/2019,147847668.3,total,aggm
AT,27/06/2019,143277187.3,total,aggm
AT,28/06/2019,122865598.4,total,aggm
AT,29/06/2019,100835213,total,aggm
AT,30/06/2019,156640645.8,total,aggm
AT,01/07/2019,146044625.2,total,aggm
AT,02/07/2019,153448254.6,total,aggm
AT,03/07/2019,154334176,total,aggm
AT,04/07/2019,122557653.7,total,aggm
AT,05/07/2019,114620158.6,total,aggm
AT,06/07/2019,96036289.32,total,aggm
AT,07/07/2019,156574139,total,aggm
AT,08/07/2019,151982391,total,aggm
AT,09/07/2019,144805164.4,total,aggm
AT,10/07/2019,165680226.6,total,aggm
AT,11/07/2019,140796666.3,total,aggm
AT,12/07/2019,104670925.8,total,aggm
AT,13/07/2019,100132937.4,total,aggm
AT,14/07/2019,159933367.8,total,aggm
AT,15/07/2019,150409280.2,total,aggm
AT,16/07/2019,154506622.7,total,aggm
AT,17/07/2019,167107758.8,total,aggm
AT,18/07/2019,165136044.9,total,aggm
AT,19/07/2019,123192818.4,total,aggm
AT,20/07/2019,138792327.1,total,aggm
AT,21/07/2019,159496217,total,aggm
AT,22/07/2019,156182093,total,aggm
AT,23/07/2019,160000017,total,aggm
AT,24/07/2019,150952351,total,aggm
AT,25/07/2019,165195034,total,aggm
AT,26/07/2019,136612727,total,aggm
AT,27/07/2019,99693828,total,aggm
AT,28/07/2019,108247711,total,aggm
AT,29/07/2019,122078659,total,aggm
AT,30/07/2019,148909991,total,aggm
AT,31/07/2019,140892411.4,total,aggm
AT,01/08/2019,135144894.6,total,aggm
AT,02/08/2019,102245925.7,total,aggm
AT,03/08/2019,98729797.76,total,aggm
AT,04/08/2019,148752138.4,total,aggm
AT,05/08/2019,146796644.5,total,aggm
AT,06/08/2019,141649624.5,total,aggm
AT,07/08/2019,159357651.1,total,aggm
AT,08/08/2019,140403182.3,total,aggm
AT,09/08/2019,119038693.4,total,aggm
AT,10/08/2019,122653387.7,total,aggm
AT,11/08/2019,167493434.2,total,aggm
AT,12/08/2019,169498185.6,total,aggm
